NETSUITE_INTERNAL_ID,Name,VENDOR_ID_LA_NH,VENDOR_ID_ELITTILE,VENDOR_ID_THD,VENDOR_ID_TILEMART,NAME_TILEMART
57248,76,V1420,,,,
53597,"2200 ORANGETHORPE, LLC",V6,,,,
56169,"2539 E 54TH ST, LLC",V122,,,,
56090,"4677W. PICO BLVD, LLC",V1201,,,,
54339,7 DIAS TIRE,V38,,,,
56656,7-ELEVEN,V0623,,,,
133062,801 INTERIOR STUDIO,V0856,,,,
365,A & B MARBLE,V702,,,,
364,A TRUSTED CO. INC.,V701,,,,
55690,A&G GROUP SERVICES INC,V4225,,,,
367,AA CABINETRY INC.,V704,,,,
62191,AARGUS GLOBAL LOGISTICS PVT LTD,V469,,,,
340,ABOTTINI ENTERPRISES INC.,V601,E0601,,,
366,AC PRODUCTS CO.,V703,,,,
63380,ACCESS QUALITY FREIGHT,V799,,,,
259,ADEX USA WEST,V127,,,,
368,ADOBE TRADING,V705,,,,
70888,ADVANCE BUILDING PROTECTION,V9570,,,,
120,AEC,V706,,,,
55166,AFFORDABLE CARE,V0195,,,,
68327,AFFORDABLE TREE CARE,V8356,,,,
121,AG&M / METROQUARTZ,V707,,,,
219,AGORA NATURAL SURFACES,V010,,,,
302206,"AIR PLUS HVAC, INC",V9851,,,,
122,AJ TRADING,V708,,,,
55893,ALBA C VELASCO,V0015,,,,
54309,ALEX MALDONADO,V0723,,,,
123,ALFAGRES,V709,,,,
124,ALL ABOUT STONE,V710,,,,
57738,"ALL ACE E & C, INC",V655,,,,
162181,ALLIANCE GLOBAL LOGISTICS CONSULTING,V9120,,,,
64631,ALON CONSULTING AND DESIGN,V7165,,,,
57973,ALON LAMBEZ,V0855,,,,
113,ALPHA PROFESSIONAL TOOLS,V651,E0651,,,
341,ALPINE BAY EZ NICHES,V602,E0602,,,
125,ALPINE QUARTZ,V711,,,,
220,ALYSEDWARDS,V012,,,,
59662,AMAZING AIR CONDITIONING,V0948,,,,
53684,AMAZON,V0170,,,,
126,AMERICAN BULLNOSE COMPANY,V712,,,,
56165,AMERICAN EXPRESS,V0648,,,,
54345,AMERICAN FLOORING DISTRIBUTORS,V815,,,,
221,AMERICAN OLEAN,V013,,,,
127,AMERICAN TILE,V714,,,,
128,AMERICAN TILE & MARBLE DESIGN,V715,,,,
252,AMERICAN TILE MAKERS (B&W),V117,,,,
110,AMERICAN TILE RACK INC.,V604,E0604,,,
302,AMERICAN UNIVERSAL CORPORATION,V300,,,,
59369,AMWEST FUNDING CORP,V986,,,,
57153,ANASAZI TILE AND STONE,V1400,,,,
129,ANATON TILES,V716,,,,
341923,ANGEL INTERIORS LLC,V9289,,,,
310,ANGELUS BLOCK,V402,,,,
64839,ANTHOLOGY,V040,,,TM0104,ANTHOLOGY TILE
130,ANTIGUA TILE DESIGN,V717,,,,
61250,APAVISA USA WEST COAST,V099,,,,
111,APEX/CADELL,V609,E0609,,,
62785,APOLLO FLOOR,V030,,,,
131,AQUA MIX,V718,,,,
53752,"AQUABELLA USA, LLC",V802,,,,
65533,ARCHITECTURAL SURFACES,V041,,,,
65632,ARENTFOX SCHIFF LLP IOLA ACCOUNT,V9548,,,,
218,ARIZONA TILE,V009,,,,
236,ARMADA TILE & STONE,V029,,,,
68194,ARMONIE CERAMICHE,V054,E0054,,,
58992,"ARROWHEAD GENERAL INSURANCE AGENCY, INC",V0921,,,,
311,ARTO BRICK,V403,,,,
53567,AT & T,V801,,,,
55937,ATLAS GENERAL INSURANCE SERVICES,V0211,,,,
67242,ATTUNE INSURANCE SERVICES LLC,V9828,,,,
55164,AUTOZONE,V0177,,,,
250,AVALON TILE WHOLESALERS,V113,,,,
181612,AXA STONE DESIGNS INC,V9519,,,,
53693,AZUVI,V749,,,,
67246,AZZARO SURFACES,V051,,,,
53822,B & W TILE CO. INC.,V810,,,,
251,B MOSAICS INC.,V116,,,,
53612,BANK OF AMERICA,V8,,,,
96381,BARCODING INC,V0799,,,,
342,BARWALT TOOL COMPANY,V606,E0606,,,
64309,BATES STUDIO (NANCY BATES),V0684,,,,
253,BAUFORMAT KUCHEN,V118,,,,
235,BB TILE & STONE,V028,,,,
213,BEDROSIANS TILE AND STONE,V004,E0004,,TM0004,
65046,BELLE VIE INTERIORS,V1699,,,,
244,BELLEZZA CERAMICA,V107,,,,
63324,BEN BRENNER,V759,,,,
277,BERGAMO TILE,V150,,,,
318,BEST CHEER STONE,V500,,,,
54935,BESTBUY,V1001,,,,
183876,BESTILE,V065,E0065,,,
61423,BHHC,V0967,,,,
73416,BHOUMIK SHETH (SPUI-RICKY),V9005,,,,
58575,"BIG STAR FIRE PROTECTION, INC",V0744,,,,
53686,BIGCOMMERCE,V19,,,,
58499,BLAIR N. ALLEN,V0851,,,,
58412,BLU EXPRESS,V0619,,,,
66491,BOE COMPANIES,V048,,,,
61038,BONANZA TRADE AND SUPPLY,V0907,E0907,,,
283,BOSPHORUS US,V202,,,,
234,BRAVO TILE AND STONE,V027,,,,
57122,"BRING IT BY MACRO, LLC",V1391,,,,
254,BROTHERS MOSAIC,V119,,,,
150427,BRYAN WARK DESIGNS INC,V8671,,,,
55963,BULLNOSE TILE LLC,V3341,,,,
63404,BUSINESS TRIP,V788,,,,
229,"BV TILE & STONE, INC",V021,,,,
65006,C & H TRUCKING,V1672,,,,
61771,CAL STATE FULLERTON PHILANTHROPIC FOUNDATION,V0955,,,,
222,CAL TILE CENTER,V014,,,,
312,CALIFORNIA ART TILE,V404,,,,
223,CALIFORNIA TILE SUPPLY,V015,,,,
55643,CAL-KOR INSURANCE SERVICES,V1199,,,,
170791,CAMBRIA,V063,,,,
59010,CAMEO ESCROW,V0768,,,,
57649,CAMILLO LONGO,V0733,,,,
152782,CANVA,V0919,,,,
54927,CAPITAL ONE,V96,,,,
58830,CARBONITE BACKUP,V0816,,,,
56178,"CARGO RYDER TRANSPORT, LLC",V0335,,,,
59840,CARPARTS.COM,V0950,,,,
63595,CASEY DUANE CARLZEN,V765,,,,
413515,CASH,V9140,,,,
313,CASTAIC BRICK (PACIFIC CLAY PRODUCTS INC),V407,,,,
53749,CDTFA,V32,,,,
62912,CEMENT TILE SHOP,V035,,,,
56689,"CENTERSTONE SBA LENDING, INC",V1271,,,,
56750,CENTRAL FREIGHT LINES INC,V0389,,,,
54947,CENTURY BUSINESS,V1011,,,,
303,CEPAC TILE,V301,,,,
124142,CESAR'S MARBLE AND GRANITE INC,V057,,,,
56306,CHARLES HAN,V0298,,,,
53572,CHASE CARD SERVICE,V0082,,,,
56657,CHEVRON,V0624,,,,
161671,CIFRE CERAMICA S.L,V991,E0991,,,
337,CIMSTONE,V523,,,,
61028,CITY DISPLAY FIXTURES,V0977,,,,
56091,CITY NATIONAL BANK,V0525,,,,
61017,CITY OF LA - BUILDING & SAFETY,V0923,,,,
57188,"CITY OF LA, OFFICE OF FINANCE",V0594,,,,
58768,CITY OF LOS ANGELES,V0857,,,,
63400,CITY OF SANTA ANA,V780,,,,
62911,CLE,V034,,,,
61150,CNJ SERVICES INC(BYUNG LEE),V0844,,,,
59547,COINBASE,V0811,,,,
343,COLOR FAST,V611,E0611,,,
64654,COLOR IMAGES COPY & PRINT,V0694,,,,
320,COLORFUL STONE & CABINET INC.,V502,,,,
319,"COLORQUARTZ COLOR MABLE, INC.",V501,,,,
54423,COMPWEST,V46,,,,
73091,CONCENTRA,V9311,,,,
225,CONTEX TILE,V017,,,,
69886,CONTINENTAL AGENCY INC,V841,,,,
314,CORONADO STONE PRODUCTS,V408,,,,
321,COSENTINO,V504,,,,
53687,COSTCO,V20,,,,
53723,COUNTY OF ORANGE,V26,,,,
55192,COUNTY OF ORANGE,V0280 (1 - Elit Tile Consolidated) (20201028-090131),,,,
56868,COURT-ORDERED DEBT COLLECTIONS,V0712,,,,
54990,COVERED CALIFORNIA FOR SMALL BUSINESS,V0103,,,,
54707,COWAY USA INC,V90,,,,
53689,CRAIGLIST,V22,,,,
62686,CREATIVE JDEA,V800,,,,
322,CRYSTAL STONE INC.,V505,,,,
58566,CSS DISTRIBUTIONS,V612,E0612,,,
344,CUSTOM BUILDING PRODUCTS,V613,E0613,,,
64669,CUSTOMS AND BORDER PROTECTION,V0344,,,,
56729,CVS,V1292,,,,
60578,DA VINCI MARBLE,V620,,,,
215,DALTILE,V006,E0006,,TM0006,
65704,DAMASO A. MEDINA,V6345,,,,
132,DARUNFAR MARBLE CORP,V721,,,,
56141,DAVID ELEZRA,V0610,,,,
54745,"DAVID ROSS (DESIGN BLVD, INC)",V92,,,,
53726,DAWN KITCHEN,V720,E0720,,,
66164,"DAYLIGHT TRANSPORT, LLC",V8277,,,,
133,DB CERAMICS,V722,,,,
296658,DEBBIE CHUNG (STUDIO BRICK LA),V9650,,,,
55414,DEBBIE MORRIS,V0110,,,,
301,DECOSTONE DESIGN,V231,,,,
55236,DELL BUSINESS,V0286,,,,
56289,DENISE MOLEAH,V0526,,,,
53753,"DESIGN STUDIO META, INC.",V803,,,,
245,DESIGNKER CERAMICS CORP.,V108,,,,
363,DEWALT/STANLEY BLACK & DECKER,V654,E0654,,,
345,DHK TOOLS,V614,E0614,,,
54341,DHL SHIPMENT,V40,,,,
346,DIAMOND PROFESSIONALS INTERNATIONAL,V615,E0615,,,
59220,DIANA EMBROIDERY,V0984,,,,
362,DISCO TOOLS,V653,E0653,,,
58852,DISCOVERY PRO INSURANCE AGENCY,V0734,,,,
53845,DMV RENEWAL,V33,,,,
57526,DONNA EZRA,V159,,,,
347,DRAIN FRAME,V617,E0617,,,
152781,DROPBOX,V0918,,,,
56310,DS LABORATORIES,V0568,,,,
323,DT STONE & CABINETS,V506,E0506,,,
53700,DUKO PLUMBING FIXTURES,V750,E0750,,,
246,DUNAMIS MOSAICS,V109,,,,
226,DUNE,V018,,,,
281,DURA BELL CERAMICS INC,V154,,,,
59563,E & G MARBLE & GRANITE (ELIAS),V0388,,,,
284,EAST WEST STONE,V205,,,,
348,EBBE AMERICA,V618,E0618,,,
53652,EDD,V10,,,,
56279,EDUARDO AREVALO(HIRAYAMA SERVICES),V0527,,,,
55689,EDWARD DELGADO,V1130,,,,
55629,EFRAT TIMOR,V2992,,,,
56791,EIG READY HOSTING,V0132,,,,
324,ELEGANT STONE,V507,E0507,,,
237,"ELEGANZA TILES, INC.",V100,E0100,,,
211,ELIT TILE LA,V002,E0002,,,
212,ELIT TILE NOHO,V003,E0003,,,
300,ELITE STONE & CABINET INC.,V230,E0230,,,
247,"ELYSIUM TILES, INC.",V110,,,,
53610,EMIL AMERICA,V112,E0112,,,
214,EMSER TILE,V005,,,,
55075,ENA NOEMY FLORES,V1050,,,,
56728,ENTERPRISE RENT A CAR,V0128,,,,
257,EPC AMERICA,V125,,,,
59575,ESET INTERNET SECURITY,V0958,,,,
279,ESTIMA USA,V152,E0152,,,
131006,ETERNITY FLOORING,V058,,,,
325,EURO STONE,V508,,,,
134,"EUROPEAN ARTSTONE, INC.",V723,,,,
258,EUROWEST,V126,,,,
115850,"EXPEDITE FIRE, INC",V0721,,,,
64524,EXPO PROPANE (LA),V1978,,,,
53846,EXPO PROPANE (NOHO),V34,,,,
53690,EXXON MOBIL,V23,,,,
55214,EZ CLOCKER,V0200,,,,
96585,FACEBOOK,V0719,,,,
260,FASHION TILE INC,V128,,,,
285,"FBR MARBLE, INC.",V206,,,,
72882,fcB2B,V966,,,,
53685,FEDEX,V18,,,,
55950,FIRST COMMUNICATIONS CABLING,V0214,,,,
60270,FIVERR INC,V0980,,,,
62891,FLOOR AND DECOR,V031,,,,
256,FLORENZA CERAMICS,V121,,,,
56205,FRANCHISE TAX BOARD,V00124,,,,
339,FRANCINI INC. LUCASTONE,V525,,,,
65031,FRANK WENCE,V2374,,,,
57318,FRC LOGISTICS,V0145,,,,
58225,FREIGHTCENTER,V0748,,,,
304,FUJIWA,V302,E0302,,TM0302,
135,GANEE STONE,V724,,,,
66122,GL STONE INC,V7680,,,,
349,GLAZE N' SEAL PRODUCTS INC.,V621,E0621,,,
261,GLAZZIO TILES,V130,,,,
56147,GLOBAL CLEANING,V0528,,,,
60653,GLOBAL INDUSTRIAL,V0927,,,,
63766,GLOBALTRANZ(GTZ),V7691,,,,
65177,GLT TRANSPORTATION GROUP,V9799,,,,
56888,GNC,V0134,,,,
54933,GODADDY.COM,V98,,,,
53755,GOLDEN STATE CARRIER,V804,,,,
315,GON'Z DECORATIONS,V409,,,,
262,"GOTON TILES, INC.",V131,,,,
66189,GPM INC,V8113,,,,
255,GRANADA TILE,V120,,,,
136,GRANQUARTZ,V725,,,,
55204,GREG T. COVEY,V0289,,,,
71764,GUDIEL DIAZ,V9544,,,,
57075,H. VILLEGAS GARDENING SERVICE,V0138,,,,
56856,HANSTONE QUARTZ,V816,,,,
66482,HAPPY FLOORS,V047,,,,
61648,HARDROCK TOOL,V0428,,,,
55126,HARTFORD FIRE INSURANCE COMPANY,V0507,,,,
299,"HASTONE USA, CORP.",V229,,,,
163427,HENNESSY WOOD FLOORS,V061,,,,
69887,HERNANDEZ TRUCKING,V842,,,,
60717,HESTIA TILE & STONE HTT,V751,,,,
53688,HIBU GLOBAL,V21,,,,
307,HISBALIT USA,V306,,,,
67151,HOME RESOLUTIONS CENTER,V049,,,,
326,HOMECO KITCHEN & BATH DEPOT,V509,,,,
66074,"HS TILE, INC",V043,,,,
59500,HYEMIN LEE,V0888,,,,
56446,IAN GEROME GUIAO,V0668,,,,
282,ICONTILE,V201,,,,
61016,ICW GROUP,V0824,,,,
264,IDG MOSAIC/IMPERIAL DSN GRP,V134,,,,
396915,IMOLA USA,V933,,,,
67161,IMPORT EXPORT E-COMMERCE CARGO LOGISTICS LLC,V4622,,,,
72446,iNarC,V9249,,,,
55163,INDEED,V0189,,,,
56808,INDUSTRIAL DOOR GROUP INC,V0911,,,,
58829,INSUNG SERVICE,V0820,,,,
82040,INTEGRAL HOMES CONSTRUCTION INC,V1403,,,,
77508,INTERGLOBO,V850,,,,
138,INTERMATEX USA,V727,,,,
309,"INTERNATIONAL WHOLESALE TILE, LLC",V311,,,,
56173,INTUIT,V0312,,,,
359829,INUS BIDET,V068,,,,
69329,IPFS CORPORATION OF CALIFORNIA,V8249,,,,
265,IRIS CERAMICS,V135,,,,
358,IRRIGATION XPRES/SIMPLE TURF,V644,,,,
53651,IRS,V9,,,,
56439,ISAAC (PEARL REMODELING),V0657,,,,
57141,ISAO K KIM,V0756,,,,
54076,ISC GRANITE FACTORY DIRECT LLC,V812,,,,
133063,ITALGRANITI GROUP SPA,V059,E0059,,,
54409,J & G RAMOS TRUCKING INC,V44,,,,
60341,JACKSON CORTEZ,V0724,,,,
107627,JAGUAR LAND ROVER MISSION VIEJO,V0720,,,,
56940,JAIME GONZALEZ,V0745,,,,
350,JAMES HARDIE,V623,,,,
53741,JAMES YI,V28,,,,
57910,JAPAN AIRLINE,V0858,,,,
55176,JAPETH N ENRIQUEZ,V1090,,,,
227,JEFFREY COURT,V019,,,,
146851,JESUS DOMINGUEZ,V0957,,,,
61515,JI SEONG HA (COWAY USA),V944,,,,
53754,JLB TRUCKING INC.,V805,,,,
58138,JOB KOREA,V1590,,,,
56638,JOHANNA  QUEDNAU,V0616,,,,
57536,JOHN RAITT (PEMET LLC),V1510,,,,
60499,JOSE ALAS,V0833,,,,
176846,JOVAN JAUREGUI ALVAREZ,V9860,,,,
55628,JUAN CARLOS ROSALES,V2991,,,,
56154,JUN PAN,V0535,,,,
65013,KAISER GROUP,V5614,,,,
58249,KARIM KARIM,V0766,,,,
333,KB DEPOT INC.,V517,,,,
148,KB STONE & CABINET INC.,V739,,,,
60679,KEVIN S SMOG INC,V0877,,,,
61762,KIM PORCHE,V0795,,,,
60260,KITCHEN LA INC (RL REMODEL-ALON),V0714,,,,
170268,KLAVIYO INC,V9715,,,,
54337,LA CITY PARKING METER,V37,,,,
54367,LA DWP,V42,,,,
360,LATICRETE INTERNATIONAL INC.,V650,E0650,,,
233119,"LAW OFFICE OF ANDY S. KONG, APC",V9425,,,,
57859,LAW OFFICE OF JOHN CO,V0711,,,,
54182,LEA NORTH AMERICA LLC,V814,,,,
56885,LEI,V0956,,,,
139,LG STONE INC,V728,,,,
94751,LINDA AMY WARD,V9648,,,,
174584,LIONS FLOOR,V1305,,,,
57405,LIOR BANDIT (CA CABINETS INC),V0752,,,,
149,LJ STONE INC,V740,,,,
63684,LONG BUILDING MATERIALS,V037,E0037,,,
266,LONGUST,V136,,,,
73948,LOOMLY,V9977,,,,
56174,LOS ANGELES COUNTY TAX COLLECTOR,V0536,,,,
55151,LOWE OUCH,V1070,,,,
55237,LOWE'S,V0899,,,,
56668,LUIS G. MIRANDA(MIRANDA CONSTRUCTION),V0615,,,,
60932,LX BUILDING MATERIALS,V752,E0752,,,
58411,M SHIP,V0759,,,,
55133,MA VIDA GALOPE,V0107,,,,
55324,MAGENTO,V1989,,,,
65619,MAGNUM EXPRESS,V499,,,,
280,MAMRE FLOOR,V153,,,,
232,MARAZZI,V025,,,,
298,MARBLE EXPRESS,V228,,,,
286,MARBLE SYSTEMS,V207,,,TM0207,
287,MARBLEX CORP.,V208,,,,
268,MARCATO TILE,V138,,,,
128553,MARIAH SHAW DESIGN,V0936,,,,
305,MASTER TILE,V303,,,,
233826,MCC TRANSPORT INC,V811,,,,
55945,MCDONALD,V0212,,,,
56049,MEAL,V0118,,,,
269,MELANGE BOUTIQUE TILE,V139,,,,
55180,MERCEDES-BENZ FINANCIAL SERVICES,V0581,,,,
61797,MERCHANT BANK CARD,V0837,,,,
58185,MERCURY AIR CARGO,V199,,,,
56362,MERCURY INSURANCE,V0578,,,,
